ScanId,SiteUrl,LastItemUserModifiedDate,RootWebTemplate,SubWebTemplates,SubWebCount,SubWebDepth,ClassicLists,ModernLists,ClassicPages,ClassicWikiPages,ClassicASPXPages,ClassicBlogPages,ClassicWebPartPages,ClassicPublishingPages,ModernPages,ClassicWorkflows,ClassicInfoPathForms,ClassicExtensibilities,SharePointAddIns,AzureACSPrincipals,AggregatedRemediationCodes
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/,03/11/2022 11:24:00,SITEPAGEPUBLISHING#0,,0,0,1,5,0,0,0,0,0,0,9,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/search,01/29/2018 19:52:29,SRCHCEN#0,,0,0,7,5,8,0,0,0,0,8,0,0,0,0,0,0,"CL3,CL5,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,11/08/2021 11:22:14,STS#0,"BLOG#0,STS#0",5,2,8,21,17,16,0,1,0,0,6,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130023,04/26/2017 11:06:28,STS#0,BLOG#0,1,1,8,8,9,8,0,1,0,0,11,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130024,04/26/2017 11:06:32,STS#0,BLOG#0,1,1,8,8,9,8,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130025,04/26/2017 11:06:35,STS#0,BLOG#0,1,1,8,9,10,9,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130026,04/26/2017 11:06:38,STS#0,BLOG#0,1,1,8,8,9,8,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130027,06/10/2020 19:58:24,STS#0,"BLOG#0,STS#0",7,3,8,26,21,20,0,1,0,0,6,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130032,04/26/2017 11:06:49,STS#0,BLOG#0,1,1,8,7,12,11,0,1,0,0,0,0,0,0,0,0,"CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130033,04/26/2017 11:06:52,STS#0,BLOG#0,1,1,8,7,12,11,0,1,0,0,0,0,0,2,0,0,"CE3,CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130034,04/26/2017 11:06:56,STS#0,BLOG#0,1,1,8,8,11,10,0,1,0,0,0,0,0,0,0,0,"CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130035,04/26/2017 11:06:59,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130036,04/26/2017 11:07:04,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130037,01/05/2019 23:18:16,STS#0,BLOG#0,1,1,8,8,13,12,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130038,04/26/2017 11:07:11,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,0,0,0,"CL4,CP2,CS1,CP4"
